Meanings,J Translation,English Definition,pronunciation,POS
succeed,成功する,to have achieved what you were trying to achieve,səkˈsid,動詞(verb)
sufficient,十分な,Having or providing enough when needed,səˈfɪʃənt,形容詞(adj.)
sum,合計,amount when all is added together; total,sʌm,名詞(n.)
summarize,要約する,To state the main or most important ideas of something,ˈsʌməˌraɪz,動詞(verb)
summary,要約,brief statement that gives the most important info,ˈsʌməri,名詞(n.)
supplement,補足，補う,add extra to support or make something complete,ˈsʌpləmənt,名詞(n.)
surgery,手術,"medical treatment in which a doctor performs an operation, cutting into a body to remove or repair internal parts",ˈsɜrʤəri,名詞(n.)
survey,調査する,To ask people a question about a particular topic,ˈsɜrˌveɪ,動詞(verb)
suspend,一時停止する；停職・停学にする,To stop something for a period of time; to interrupt,səˈspɛnd,動詞(verb)
sustain,持続する,"To maintain, lengthen or continue to do something",səˈsteɪn,動詞(verb)
symbol,象徴；記号；シンボル,"action, object that represents a particular idea or quality",ˈsɪmbəl,名詞(n.)
symptom,症状；兆候,sign in the body or mind that appears to suggest that one has an illness,ˈsɪmptəm,名詞(n.)
tackle,取り組む,attempt to force a person to the ground; often in sports such as RUGBY or American football,ˈtækəl,名詞(n.)
talent,才能,natural ability of a person to do something well,ˈtælənt,名詞(n.)
target,目標,a goal or amount you are trying to achieve,ˈtɑrgət,名詞(n.)
task,仕事；任務,big or small piece of work someone has to do,tæsk,名詞(n.)
technical,技術的な；専門的な,of practical use of machines or science in industry,ˈtɛknɪkəl,形容詞(adj.)
technique,技術,way of doing by using special knowledge or skill,tɛkˈnik,名詞(n.)
temperature,温度,"how hot or cold something is, e.g. the weather",ˈtɛmprəʧər,名詞(n.)
temporary,一時的な,"Continuing for a limited time, not permanent",ˈtɛmpəˌrɛri,形容詞(adj.)
tender,柔らかい,Offer; extend,ˈtɛndər,形容詞(adj.)
tennis,テニス,game played by hitting a ball over a net,ˈtɛnəs,名詞(n.)
territory,領土,area of land or ocean owned or controlled by a government or person,ˈtɛrɪˌtɔri,名詞(n.)
terrorist,テロリスト ,radical who employs terror as a political weapon; usually organizes with other terrorists in small cells; often uses religion as a cover for terrorist activities,ˈtɛrərɪst,名詞(n.)
text,教科書,written part of a book or other work,tɛkst,名詞(n.)
theme,主題；テーマ,main subject to discuss or describe,θim,名詞(n.)
theoretical,理論的な,Involved the uncertain or yet to be proved aspects of a certain subject,ˌθiəˈrɛtɪkəl,形容詞(adj.)
theory,理論,idea that is explain facts or events academically,ˈθɪri,名詞(n.)
therapy,治療,Treatment intended to help fix your problem or medical illness,ˈθɛrəpi,名詞(n.)
tissue,ティッシュ,"piece of thin, soft paper that is used, in particular, for blowing and cleaning the nose",ˈtɪsˌju,名詞(n.)
trail,跡，引きずる；後を追う,"path, usually through a field or a forest",treɪl,名詞(n.)
transform,変換する,To change the shape completely in a good way,trænˈsfɔrm,動詞(verb)
transition,遷移,"change from one state, movement, place, or subject to another",trænˈzɪʃən,名詞(n.)
translate,翻訳する,To change words from one language into another,trænˈzleɪt,動詞(verb)
transport,輸送する，輸送,To carry things from one place to another,ˈtrænspɔrt,動詞(verb)
transportation,輸送；交通,"act, system, or business of moving people or goods from one place to another",ˌtrænspərˈteɪʃən,名詞(n.)
trend,傾向；流行,"general direction of developing, proceeding",trɛnd,名詞(n.)
trigger,引き金；誘因，引き起こす,lever on a gun that you pull to fire,ˈtrɪgər,名詞(n.)
troop,軍隊,"group of soldiers, especially horse; an organized group",trup,名詞(n.)
tube,管,"long, hollow object",tub,名詞(n.)
ultimately,最終的に,Done or considered as the final and most important,ˈʌltəmətli,副詞(adv)
undergo,経験する；(治療などを)受ける,To experience or endure something (bad) that happens to you,ˌʌndərˈgoʊ,動詞(verb)
underlie,根底にある,To lie or exist beneath,ˌʌndərˈlaɪ,動詞(verb)
undertake,引き受ける,"To begin or attempt, commit oneself to and begin",ˈʌndərˌteɪk,動詞(verb)
uniform,制服，統一の,a set of clothes that show you are part of a group or school,ˈjunəˌfɔrm,名詞(n.)
unique,独特の,unlike other things; being the only one like it,juˈnik,形容詞(adj.)
universal,全世界の；普遍的な,Done or experienced by everyone,ˌjunəˈvɜrsəl,形容詞(adj.)
universe,宇宙,All of space and everything in it,ˈjunəˌvɜrs,名詞(n.)
unlike,似ていない，〜と違って,Appearing or being different,ənˈlaɪk,形容詞(adj.)
urban,都会の,Concerning a city; located in a city,ˈɜrbən,形容詞(adj.)
urge,促す，衝動；本能,To strongly persuade someone to do something,ɜrʤ,動詞(verb)
variety,多様性；種類,particular type of thing or person,vəˈraɪəti,名詞(n.)
vast,広大な,Being very large in size or amount,væst,形容詞(adj.)
venture,危険を冒す；思い切って～する，危険；ベンチャー事業,(business) activity that involves taking chances or risks,ˈvɛnʧər,名詞(n.)
versus,～に対して,Used to show that a thing or person is against another thing or person,ˈvɜrsəs,前置詞(prep.)
vessel,船舶；血管,"Pot, container",ˈvɛsəl,名詞(n.)
veteran,ベテラン,Experienced through long service or practice,ˈvɛtərən,名詞(n.)
via,～を経由して；～によって,"By going through, by way of",ˈvaɪə,前置詞(prep.)
victory,勝利,Success in defeating an opponent,ˈvɪktəri,名詞(n.)
violence,暴力,use of physical force to harm someone,ˈvaɪələns,名詞(n.)
virtually,事実上,In an almost complete or entire manner,ˈvɜrʧuəli,副詞(adv)
virus,ウイルス,very small living thing that causes disease or sickness and can be spread among people or animals,ˈvaɪrəs,名詞(n.) 複数形(pl.)
visible,目に見える,"Can see , easily seen or understood",ˈvɪzəbəl,形容詞(adj.)
vision,視覚；視力,ability to see things with your eyes,ˈvɪʒən,名詞(n.)
visual,視覚の,Something to look at with the eyes,ˈvɪʒəwəl,形容詞(adj.)
vital,極めて重要な,Being of extreme importance for the success of something,ˈvaɪtəl,形容詞(adj.)
volume,量；容積；体積,"level of sound produced by an object, such as a radio or television",ˈvɑljum,名詞(n.)
voluntary,自発的な；任意の；無償の,Done or given by their own will and not forced to do,ˈvɑləntɛri,形容詞(adj.)
volunteer,ボランティア ,To work willingly without pay,ˌvɑlənˈtɪr,動詞(verb)
wealth,富,large amount of money and possessions,wɛlθ,名詞(n.)
wealthy,裕福な,Having a great quantity of money or property,ˈwɛlθi,形容詞(adj.)
weigh,重さを量る,"to determine the weight of, using scales",weɪ,動詞(verb)
welfare,幸福；福祉,program for poor or unemployed people help living,ˈwɛlˌfɛr,名詞(n.)
whisper,ささやく,To talk with breath but no voice,ˈwɪspər,動詞(verb)
withdraw,撤回する；引き出す,Pull back; move away or backward from something,wɪðˈdrɔ,動詞(verb)
yield,折れる；降伏する；譲る,To give way to someone or something else,jild,動詞(verb)
youth,青年時代；若さ；若者,When you are young ; a young person,juθ,名詞(n.)
zone,地帯,area of space used for a particular reason,zoʊn,名詞(n.)
accord,一致する,agreement or harmony,əˈkɔrd,名詞(n.)
grammar,文法,rules explaining how words are used in a language,ˈgræmər,名詞(n.)
nowadays,最近は,At the present time; now,ˈnaʊəˌdeɪz,副詞(adv)
verb,動詞,word that expresses an action or state,vɜrb,名詞(n.)
noun,名詞,the subject or object of a sentence,naʊn,名詞(n.)
trillion,兆,"1,000,000,000,000",ˈtrɪljən,数詞(num.)
attach,取り付ける；添付する,To be associated or connected with,əˈtæʧ,動詞(verb)
quadrillion,千兆,number that is represented as a one followed by 24 zeros,quadrillion,名詞(n.)
a,一つの,One (of something),eɪ,冠詞(article)
ad,広告,public notice or advertisement,æd,名詞(n.)
band,バンド； 楽団,group of people who work together e.g. play music,bænd,名詞(n.)
honor,名誉,Respect given to someone who is admired,ˈɑnər,名詞(n.)
minister,大臣,an official who heads a government department,ˈmɪnəstər,名詞(n.)
odd,奇妙な,Being unexpected and different; out of the ordinary,ɑd,形容詞(adj.)
or,あるいは；すなわち；そうでなければ,"Used to link alternatives, to introduce another choice",ɔr,接続詞(conj.)
bedroom,寝室,"room with a bed, for sleeping in",ˈbɛˌdrum,名詞(n.)
forever,永遠に,For a very long or seemingly endless time,fəˈrɛvər,副詞(adv)
online,オンラインの,connected to the internet,ˈɔnˌlaɪn,形容詞(adj.)
shareholder,株主,Someone who holds shares of stock in a corporation,ˈʃɛrˌhoʊldər,名詞(n.)
weekend,週末,Saturday and Sunday,ˈwiˌkɛnd,名詞(n.)
development,発達；開発,act or process of growing bigger or more advanced,dɪˈvɛləpmənt,名詞(n.)
due,期日の、 満期の,when something is required or expected,du,形容詞(adj.)
education,教育,process of giving or receiving teaching,ˌɛʤəˈkeɪʃən,名詞(n.)
eleven,11,11,ɪˈlɛvən,数詞(num.)
end,終わり,A point that marks the limit of something; finish,ɛnd,名詞(n.)
fellow,仲間,belonging to the same group,ˈfɛloʊ,形容詞(adj.)
first,一番最初の,Coming before all others in time or place,fɜrst,形容詞(adj.)
for,～のために；～に向かって；～にとって；～に関して；～に賛成して；～の代わりに；～だから,"Used to show the purpose, or need of something",fɔr,前置詞(prep.)
friend,友だち,person who you like and enjoy being with,frɛnd,名詞(n.)
fun,楽しい,amusing and enjoyable,fʌn,形容詞(adj.)
giant,巨大な,"Extremely big, or much bigger than other things",ˈʤaɪənt,形容詞(adj.)
gray,灰色の,Color between black and white (also spelled grey),greɪ,形容詞(adj.)
great,すばらしい,Very good; fantastic; wonderful,greɪt,形容詞(adj.)
half,半分,the part you get when one is divided into two; ½,hæf,名詞(n.)
he,彼,Object form of a male person you are talking about,hi,代名詞(pron.)
in,〜の中の,Being inside something,ɪn,形容詞(adj.)
January,1月,1st month of the year,ˈʤænjuˌɛri,名詞(n.)
June,6月,6th month of the year,ʤun,名詞(n.)
lean,傾く；もたれる,To balance against or on something for support,lin,動詞(verb)
may,〜してもよい；～かもしれない；～であろう,"expresses permission, possibility or probability",meɪ,助動詞(aux.)
monday,月曜日,second day of the week; the day after Sunday,ˈmʌndi,名詞(n.)
new,新しい,"Not old, recently born, built or made",nu,形容詞(adj.)
news,知らせ,information about recent events,nuz,名詞(n.) 複数形(pl.)
no,いいえ，少しの～もない；決して～ない,being none; not having or being,noʊ,形容詞(adj.)
north,北,direction to your left when facing the rising sun,nɔrθ,名詞(n.)
on,～の上にある,Located on surface of something e.g. a table or wall,ɑn,形容詞(adj.)
option,選択,possibility out of several that can be chosen; choice,ˈɑpʃən,名詞(n.)
park,駐車場，駐車させる,to put your car or bike in a certain place for a time,pɑrk,動詞(verb)
post,郵送する,To send a letter or package using the post office,poʊst,動詞(verb)
pro,専門職,Playing a sport as a job,proʊ,名詞(n.)
read,読む,To look at and comprehend the meaning some writing,rid,動詞(verb)
return,戻す；返す，帰宅；返却；復帰；お返し,To come back to a place again,rɪˈtɜrn,動詞(verb)
rice,米,white or brown grains from a plant used for food,raɪs,名詞(n.)
school,学校；教習所,building where you learn in classes with a teacher,skul,名詞(n.)
software,ソフトウェア,market for software is expected to expand,ˈsɔfˌtwɛr,名詞(n.)
sun,太陽,the hot shining star the Earth moves around,sʌn,名詞(n.)
tea,お茶,drink made when you put dried leaves in hot water,ti,名詞(n.)
toy,おもちゃ,"things children play with, as dolls or small cars",tɔɪ,名詞(n.)
turn,曲がる；向きを変える,"To change the direction of something, e.g. a car",tɜrn,動詞(verb)
type,型；種類；タイプ,group of things or people sharing common features,taɪp,名詞(n.)
update,更新，更新する,To bring something up to date (usually by adding something),əpˈdeɪt,動詞(verb)
